Medications_Reference.md: frontmatter missing `trust`
Medications_Reference.md: frontmatter missing `population`
Corpus A/01_Cardiovascular.md: frontmatter missing `trust`
Corpus A/01_Cardiovascular.md: frontmatter missing `population`
Corpus A/02_Respiratory.md: frontmatter missing `trust`
Corpus A/02_Respiratory.md: frontmatter missing `population`
Corpus A/03_Gastrointestinal.md: frontmatter missing `trust`
Corpus A/03_Gastrointestinal.md: frontmatter missing `population`
Corpus A/03a_Anaesthetics_Primer.md: frontmatter missing `trust`
Corpus A/03a_Anaesthetics_Primer.md: frontmatter missing `population`
Corpus A/04_Neurology.md: frontmatter missing `trust`
Corpus A/04_Neurology.md: frontmatter missing `population`
Corpus A/05_Ophthalmology.md: frontmatter missing `trust`
Corpus A/05_Ophthalmology.md: frontmatter missing `population`
Corpus A/06_Metabolic_Medicine_and_Endocrinology.md: frontmatter missing `trust`
Corpus A/06_Metabolic_Medicine_and_Endocrinology.md: frontmatter missing `population`
Corpus A/07_Renal_Medicine_and_Urology.md: frontmatter missing `trust`
Corpus A/07_Renal_Medicine_and_Urology.md: frontmatter missing `population`
Corpus A/08_01-03_Infectious_Disease_-_Bacterial_Infections.md: frontmatter missing `trust`
Corpus A/08_01-03_Infectious_Disease_-_Bacterial_Infections.md: frontmatter missing `population`
Corpus A/08_04_Infectious_Disease_-_Antibiogram.md: frontmatter missing `trust`
Corpus A/08_04_Infectious_Disease_-_Antibiogram.md: frontmatter missing `population`
Corpus A/08_05-06_Infectious_Disease_-_Viral_Infections.md: frontmatter missing `trust`
Corpus A/08_05-06_Infectious_Disease_-_Viral_Infections.md: frontmatter missing `population`
Corpus A/08_07_Infectious_Disease_-_Protozoan_Infections.md: frontmatter missing `trust`
Corpus A/08_07_Infectious_Disease_-_Protozoan_Infections.md: frontmatter missing `population`
Corpus A/08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md: frontmatter missing `trust`
Corpus A/08_08_Infectious_Disease_-_Genitourinary_Infections_and_STIs.md: frontmatter missing `population`
Corpus A/08_09_Infectious_Disease_-_Miscellaneous.md: frontmatter missing `trust`
Corpus A/08_09_Infectious_Disease_-_Miscellaneous.md: frontmatter missing `population`
Corpus A/08_10_Infectious_Disease_-_Diarrhoea_DDx_and_Gastroenteritis.md: frontmatter missing `trust`
Corpus A/08_10_Infectious_Disease_-_Diarrhoea_DDx_and_Gastroenteritis.md: frontmatter missing `population`
Corpus A/09_01_Dermatology_-_Dermatological_Emergencies.md: frontmatter missing `trust`
Corpus A/09_01_Dermatology_-_Dermatological_Emergencies.md: frontmatter missing `population`
Corpus A/09_02_Dermatology_-_Melanocytic_Lesions_and_Mimickers.md: frontmatter missing `trust`
Corpus A/09_02_Dermatology_-_Melanocytic_Lesions_and_Mimickers.md: frontmatter missing `population`
Corpus A/09_03a_Dermatology_-_Non-Melanoma_Skin_Cancer.md: frontmatter missing `trust`
Corpus A/09_03a_Dermatology_-_Non-Melanoma_Skin_Cancer.md: frontmatter missing `population`
Corpus A/09_03b_Dermatology_-_Acne_Vulgaris.md: frontmatter missing `trust`
Corpus A/09_03b_Dermatology_-_Acne_Vulgaris.md: frontmatter missing `population`
Corpus A/09_04_Dermatology_-_Eczema__Psoriasis__Rosacea.md: frontmatter missing `trust`
Corpus A/09_04_Dermatology_-_Eczema__Psoriasis__Rosacea.md: frontmatter missing `population`
Corpus A/09_05_Dermatology_-_Bacterial_Infections_and_Infestations.md: frontmatter missing `trust`
Corpus A/09_05_Dermatology_-_Bacterial_Infections_and_Infestations.md: frontmatter missing `population`
Corpus A/09_06_Dermatology_-_Fungal_and_Viral_Skin_Infections.md: frontmatter missing `trust`
Corpus A/09_06_Dermatology_-_Fungal_and_Viral_Skin_Infections.md: frontmatter missing `population`
Corpus A/09_07_Dermatology_-_Chickenpox__Shingles__Pityriasis_Rosea__Hidradenitis_Suppurativa.md: frontmatter missing `trust`
Corpus A/09_07_Dermatology_-_Chickenpox__Shingles__Pityriasis_Rosea__Hidradenitis_Suppurativa.md: frontmatter missing `population`
Corpus A/09_08_Dermatology_-_Miscellaneous.md: frontmatter missing `trust`
Corpus A/09_08_Dermatology_-_Miscellaneous.md: frontmatter missing `population`
Corpus A/10_01_Haemonc_-_Leukaemias_and_Myeloproliferative_Disorders.md: frontmatter missing `trust`
Corpus A/10_01_Haemonc_-_Leukaemias_and_Myeloproliferative_Disorders.md: frontmatter missing `population`
Corpus A/10_02_Haemonc_-_Lymphomas_and_Multiple_Myeloma.md: frontmatter missing `trust`
Corpus A/10_02_Haemonc_-_Lymphomas_and_Multiple_Myeloma.md: frontmatter missing `population`
Corpus A/10_03a_Haemonc_-_Primary_Immunodeficiencies.md: frontmatter missing `trust`
Corpus A/10_03a_Haemonc_-_Primary_Immunodeficiencies.md: frontmatter missing `population`
Corpus A/10_03b_Haemonc_-_Acute_Intermittent_Porphyria.md: frontmatter missing `trust`
Corpus A/10_03b_Haemonc_-_Acute_Intermittent_Porphyria.md: frontmatter missing `population`
Corpus A/10_04_Haemonc_-_Anaemia_Overview_and_Microcytic_Anaemia.md: frontmatter missing `trust`
Corpus A/10_04_Haemonc_-_Anaemia_Overview_and_Microcytic_Anaemia.md: frontmatter missing `population`
Corpus A/10_05_Haemonc_-_Normocytic_Anaemia_and_Sickle_Cell_Disease.md: frontmatter missing `trust`
Corpus A/10_05_Haemonc_-_Normocytic_Anaemia_and_Sickle_Cell_Disease.md: frontmatter missing `population`
Corpus A/10_06a_Haemonc_-_Macrocytic_Anaemia.md: frontmatter missing `trust`
Corpus A/10_06a_Haemonc_-_Macrocytic_Anaemia.md: frontmatter missing `population`
Corpus A/10_06b_Haemonc_-_Thrombophilia__APS__Thrombocytosis__Methaemoglobinaemia.md: frontmatter missing `trust`
Corpus A/10_06b_Haemonc_-_Thrombophilia__APS__Thrombocytosis__Methaemoglobinaemia.md: frontmatter missing `population`
Corpus A/10_07_Haemonc_-_Platelet_and_Clotting_Disorders__Neutropaenia.md: frontmatter missing `trust`
Corpus A/10_07_Haemonc_-_Platelet_and_Clotting_Disorders__Neutropaenia.md: frontmatter missing `population`
Corpus A/10_08_Haemonc_-_Blood_Products_and_Transfusion.md: frontmatter missing `trust`
Corpus A/10_08_Haemonc_-_Blood_Products_and_Transfusion.md: frontmatter missing `population`
Corpus A/10_09a_Haemonc_-_Anticoagulants_and_Antiplatelets.md: frontmatter missing `trust`
Corpus A/10_09a_Haemonc_-_Anticoagulants_and_Antiplatelets.md: frontmatter missing `population`
Corpus A/10_09b_Haemonc_-_Miscellaneous_Haematology.md: frontmatter missing `trust`
Corpus A/10_09b_Haemonc_-_Miscellaneous_Haematology.md: frontmatter missing `population`
Corpus A/10_10a_Haemonc_-_Haematological_and_Oncological_Emergencies.md: frontmatter missing `trust`
Corpus A/10_10a_Haemonc_-_Haematological_and_Oncological_Emergencies.md: frontmatter missing `population`
Corpus A/10_10b_Haemonc_-_Transplant_Medicine.md: frontmatter missing `trust`
Corpus A/10_10b_Haemonc_-_Transplant_Medicine.md: frontmatter missing `population`
Corpus A/10_11a_Oncology_-_Common_Cancers__Carcinogens__Tumour_Markers.md: frontmatter missing `trust`
