Category,Topic,Studied? (Y/N),Confidence (1-3),Notes,Yield (MCQ+OSCE),UK Notes Coverage (est.),If gap: suggested resource
Gastroenterology & Hepatology,Abdominal X-ray,,,,Medium,Likely covered,
Gastroenterology & Hepatology,"Abdominal bleeding (bruising, petechiae)",,,,Medium,Likely covered,
Gastroenterology & Hepatology,Abdominal pain,,,,High,Likely covered,
Gastroenterology & Hepatology,Abdominal pain in infancy and childhood,,,,High,Likely covered,
Gastroenterology & Hepatology,Abdominal swelling or mass,,,,Medium,Partially covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Acute and chronic pancreatitis,,,,Medium,Likely covered,
Gastroenterology & Hepatology,"Acute liver failure (e.g. hepatotoxic exposures, paracetamol overdose)",,,,High,Likely covered,
Gastroenterology & Hepatology,Alcohol-related Fatty Liver Disease,,,,High,Likely covered,
Gastroenterology & Hepatology,Alcoholic liver disease,,,,High,Likely covered,
Gastroenterology & Hepatology,Amylase/Lipase (added — surgical abdomen),,,,Low,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Anal fissures,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Anal fistulas,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Anorexia,,,,High,Likely covered,
Gastroenterology & Hepatology,Appendicitis,,,,High,Likely covered,
Gastroenterology & Hepatology,Ascites,,,,Medium,Partially covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,"Ascitic fluid analysis (paracentesis) — liver disease workups, general medicine/surgery",,,,Medium,Partially covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Barrett’s oesophagus,,,,High,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Biliary MALIGNANCY,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Biliary colic,,,,High,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Biliary tract disorders,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Bowel obstruction,,,,High,Likely covered,
Gastroenterology & Hepatology,"CT chest, CT abdomen",,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,"Cancer (e.g. oesophageal cancer, gastric cancer)",,,,Medium,Likely covered,
Gastroenterology & Hepatology,Causes of frank PR bleeding,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Causes of haematochezia,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Causes of malaena,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Cecal volvulus,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Cholangitis,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Cholecystitis,,,,High,Likely covered,
Gastroenterology & Hepatology,Chronic liver disease,,,,High,Likely covered,
Gastroenterology & Hepatology,Cirrhosis,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Coeliac disease,,,,High,Likely covered,
Gastroenterology & Hepatology,Colo-rectal MALIGNANCY,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Colorectal cancer,,,,High,Likely covered,
Gastroenterology & Hepatology,Colorectal cancers,,,,Medium,Likely covered,
Gastroenterology & Hepatology,"Common complications of liver disease – jaundice, ascites, varices",,,,Medium,Likely covered,
Gastroenterology & Hepatology,"Common dermatological conditions: eczema, psoriasis, acne, rosacea, urticarial, bacterial, viral, fungal and insect infections, benign growths: epidermoid cysts, seborrheic keratosis, malignancy conditions: BCC, SCC, Bowen’s disease, keratoacanthoma, melanoma, pruritus, hair and nail diseases, ulcers: including venous, arterial, malignant and pressure ulcers, SLE, lichen planus, purpura",,,,High,Likely covered,
Gastroenterology & Hepatology,Constipation,,,,High,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Corneal ulcer,,,,High,Likely covered,
Gastroenterology & Hepatology,Corneal ulceration,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Diarrhoea (acute and chronic),,,,High,Likely covered,
Gastroenterology & Hepatology,Diverticulitis,,,,High,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Dyspepsia,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Gastric MALIGNANCY,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Gastro-Oesophageal Reflux Disease,,,,High,Likely covered,
Gastroenterology & Hepatology,Gastro-oesophageal reflux,,,,High,Likely covered,
Gastroenterology & Hepatology,Gastro-oesophageal reflux disorder,,,,High,Likely covered,
Gastroenterology & Hepatology,"Gastroenteritis in infancy and childhood, dehydration and fluid management",,,,High,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Gastrointestinal perforation,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Haematemesis,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Hepatitis A,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Hepatitis B,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Hepatitis B & C,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Hepatitis C,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Hepatitis D,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Hepatitis E,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Hernia,,,,High,Likely covered,
Gastroenterology & Hepatology,Hernias,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Herniated intervertebral disc INJURY,,,,High,Likely covered,
Gastroenterology & Hepatology,Hiatus hernia,,,,Medium,Likely covered,
Gastroenterology & Hepatology,INFECTIVE GASTROENTERITIS,,,,High,Likely covered,
Gastroenterology & Hepatology,INFLAMMATORY BOWEL DISEASE Crohn's,,,,High,Likely covered,
Gastroenterology & Hepatology,Ileus,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Indigestion/Reflux,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Infective diarrhoea,,,,High,Likely covered,
Gastroenterology & Hepatology,"Inflammatory bowel disease (ulcerative colitis, Crohn’s disease)",,,,High,Likely covered,
Gastroenterology & Hepatology,Inflammatory bowel diseases,,,,High,Likely covered,
Gastroenterology & Hepatology,Intussusception,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Irritable bowel syndrome,,,,High,Likely covered,
Gastroenterology & Hepatology,Ischaemic bowel,,,,High,Likely covered,
Gastroenterology & Hepatology,Jaundice,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Large Intestine BOWEL OBSTRUCTION,,,,High,Likely covered,
Gastroenterology & Hepatology,Leg ulcers,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Liver Metastases,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Malabsorption,,,,High,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Malnutrition,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Melaena,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Nausea and Vomiting,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Non-Alcohol-related Fatty Liver Disease,,,,High,Likely covered,
Gastroenterology & Hepatology,Non-alcoholic fatty liver disease,,,,High,Likely covered,
Gastroenterology & Hepatology,Oesophageal MALIGNANCY,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Oesophageal tears,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Oesophagus disorders including cancers,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Pancreatic MALIGNANCY,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Pancreatitis,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Peptic ulcer disease,,,,High,Likely covered,
Gastroenterology & Hepatology,Primary Hepatocellular Malignancy,,,,Medium,Partially covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Rectal bleeding,,,,Medium,Likely covered,
Gastroenterology & Hepatology,Retinoblastoma,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Sigmoid volvulus,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Small Intestine BOWEL OBSTRUCTION,,,,High,Likely covered,
Gastroenterology & Hepatology,Stomas,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,"Surgical’ Abdomen: Appendicitis, Intussusception",,,,High,Likely covered,
Gastroenterology & Hepatology,Swallowing difficulty / Dysphagia,,,,Medium,Partially covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,The acute abdomen,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Traveller diarrhoea,,,,High,Likely covered,
Gastroenterology & Hepatology,Ulceration (specify site),,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,Ulcerative Colitis,,,,High,Likely covered,
Gastroenterology & Hepatology,Upper gastrointestinal bleeding,,,,Medium,Likely covered,
Gastroenterology & Hepatology,"Vomiting in infancy and childhood, GORD, pyloric stenosis",,,,Medium,Likely covered,
Gastroenterology & Hepatology,"Wound and wound management (1°, 2° closure, drainage, ulcers",,,,Medium,Partially covered,Zero to Finals - Gastroenterology
Gastroenterology & Hepatology,cholelithiasis,,,,Medium,Unlikely covered,Zero to Finals - Gastroenterology
Neurology,"Aphasia / Dysphasia (Receptive, expressive,",,,,Low,Likely covered,
Neurology,"Ataxia - cerebellum, sensory (proprioception), vestibular system",,,,Low,Unlikely covered,Zero to Finals - Neurology
Neurology,Balance or gait disorder,,,,Low,Likely covered,
Neurology,Bell’s palsy,,,,Low,Likely covered,
Neurology,Benign Positional Paroxysmal Vertigo,,,,Low,Likely covered,
Neurology,Brain tumour types and presentation,,,,Medium,Likely covered,
Neurology,Brain tumours,,,,Low,Likely covered,
Neurology,CSF (fits psych/neuro differentials and general medicine),,,,Low,Likely covered,
Neurology,CT head (trauma/stroke — pairs naturally with X-ray systematic approach),,,,Medium,Likely covered,
Neurology,"Caring for the elderly in community: dementia, mobility, Parkinson’s disease, recurrent falls",,,,High,Partially covered,Zero to Finals - Neurology
Neurology,Cauda equina*,,,,High,Likely covered,
Neurology,Central Vertigo,,,,Low,Likely covered,
Neurology,Charcot-Marie-Tooth,,,,Low,Likely covered,
Neurology,Chiari malformations,,,,Low,Unlikely covered,Zero to Finals - Neurology
Neurology,Confusion and/or disorientation,,,,High,Partially covered,Zero to Finals - Neurology
Neurology,"Confusion, delirium and dementia",,,,High,Likely covered,
Neurology,Conversion disorder (functional neurology symptom disorder),,,,Medium,Unlikely covered,Zero to Finals - Neurology
Neurology,Delirium,,,,High,Likely covered,
Neurology,Dizziness,,,,Low,Unlikely covered,Zero to Finals - Neurology
Neurology,Encephalitis,,,,High,Likely covered,
Neurology,"Epilepsy (Main types, first seizure)",,,,Medium,Likely covered,
Neurology,Extradural haematoma,,,,Medium,Likely covered,
Neurology,Febrile seizures,,,,High,Likely covered,
Neurology,Guillain-Barre,,,,High,Likely covered,
Neurology,Headache,,,,High,Likely covered,
Neurology,Headache in a child,,,,High,Likely covered,
Neurology,Horner’s syndrome,,,,Low,Unlikely covered,Zero to Finals - Neurology
Neurology,Hydrocephalus,,,,High,Unlikely covered,Zero to Finals - Neurology
Neurology,"Hyperkinetic - Basal ganglia eg Huntington's, Tremors, Dystonias",,,,Low,Unlikely covered,Zero to Finals - Neurology
Neurology,"Intra-Cranial Haemorrhage; Extra-dural, Sub-dural, Sub-Arachnoid, Intra-cerebral",,,,Medium,Likely covered,
Neurology,Ischaemic stroke and TIA,,,,High,Likely covered,
Neurology,Loss or altered conscious state,,,,Medium,Partially covered,Zero to Finals - Neurology
Neurology,"MRI brain, MRI spine",,,,Low,Likely covered,
Neurology,Malignant spinal cord compression*,,,,Medium,Likely covered,
Neurology,Meningitis,,,,High,Likely covered,
Neurology,Migraine,,,,Low,Likely covered,
Neurology,Motor Neurone Disease,,,,Medium,Likely covered,
Neurology,Movement disorder,,,,Low,Likely covered,
Neurology,Multiple sclerosis,,,,High,Likely covered,
Neurology,Muscular dystrophy,,,,Low,Likely covered,
Neurology,Myasthenia Gravis,,,,Low,Likely covered,
Neurology,NIHSS (stroke — pairs with CT head from last week),,,,Medium,Likely covered,
Neurology,Neurological dysfunction or deficit (motor),,,,Medium,Partially covered,Zero to Finals - Neurology
Neurology,Parkinson disease,,,,High,Likely covered,
Neurology,Peripheral Vertigo,,,,Medium,Likely covered,
Neurology,Peripheral neuropathies,,,,Medium,Likely covered,
Neurology,Peripheral neuropathy,,,,High,Likely covered,
Neurology,Radiculopathies,,,,Low,Unlikely covered,Zero to Finals - Neurology
Neurology,Spasticity,,,,Low,Likely covered,
Neurology,Speech disorder,,,,High,Likely covered,
Neurology,Spinal cord compression and spinal cord lesions,,,,Medium,Likely covered,
Neurology,Spinal cord disease/compression,,,,Medium,Likely covered,
Neurology,Subarachnoid haemorrhage,,,,High,Likely covered,
Neurology,Subdural haematoma,,,,Medium,Likely covered,
Neurology,Transient Ischaemic Attack,,,,High,Likely covered,
Neurology,Tredelenburg’s gait,,,,Low,Unlikely covered,Zero to Finals - Neurology
Neurology,Tremor,,,,Low,Likely covered,
Neurology,Trigeminal neuralgia,,,,Low,Unlikely covered,Zero to Finals - Neurology
Neurology,Vertigo,,,,Low,Likely covered,
Neurology,Vestibular Neuronitis,,,,Low,Likely covered,
Neurology,"Vitals-adjacent scores: GCS, AVPU, Pain scales",,,,Medium,Partially covered,Zero to Finals - Neurology
Neurology,Weakness,,,,High,Likely covered,
Neurology,cluster headaches,,,,Low,Likely covered,
Older Persons Health / Geriatrics (NEW),Capacity assessment & substitute decision maker,,,,High,N/A - new category,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
Older Persons Health / Geriatrics (NEW),"Cognitive screening tools (MMSE, MoCA, AMTS) & MCI progression to dementia",,,,High,N/A - new category,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
Older Persons Health / Geriatrics (NEW),"Cognitive screens: MMSE, MoCA, AMTS",,,,Medium,Unlikely covered,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
Older Persons Health / Geriatrics (NEW),Delirium vs dementia vs depression (differentiating in the elderly),,,,High,N/A - new category,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
Older Persons Health / Geriatrics (NEW),Discharge planning / home safety assessment,,,,High,N/A - new category,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
Older Persons Health / Geriatrics (NEW),Elder abuse / carer stress recognition,,,,High,N/A - new category,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
Older Persons Health / Geriatrics (NEW),Fall (recurrent falls),,,,High,Partially covered,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
Older Persons Health / Geriatrics (NEW),Frailty phenotype / frailty assessment,,,,High,N/A - new category,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
Older Persons Health / Geriatrics (NEW),"Long-term care planning (e.g. advanced directives, ceiling of care)",,,,High,Likely covered,
Older Persons Health / Geriatrics (NEW),Osteopenia/osteoporosis management & falls-related fracture prevention,,,,High,N/A - new category,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
Older Persons Health / Geriatrics (NEW),Polypharmacy review / deprescribing in the elderly,,,,High,N/A - new category,Oxford Handbook of Geriatric Medicine; '5 Ms of Geriatrics' framework
"Injury, Poisoning, Envenomation & Environmental (NEW)",Adult choking,,,,Medium,Likely covered,
"Injury, Poisoning, Envenomation & Environmental (NEW)","Adult, paediatric and neonatal resuscitation",,,,Low,Partially covered,Oxford Handbook of Emergency Medicine; Toxbase-style overdose summaries
"Injury, Poisoning, Envenomation & Environmental (NEW)",Burns,,,,Low,Unlikely covered,Oxford Handbook of Emergency Medicine; Toxbase-style overdose summaries
"Injury, Poisoning, Envenomation & Environmental (NEW)",Burns and scalds,,,,Low,Unlikely covered,Oxford Handbook of Emergency Medicine; Toxbase-style overdose summaries
"Injury, Poisoning, Envenomation & Environmental (NEW)",Lacerations and abrasions,,,,Low,Unlikely covered,Oxford Handbook of Emergency Medicine; Toxbase-style overdose summaries
"Injury, Poisoning, Envenomation & Environmental (NEW)",Major trauma,,,,Medium,Likely covered,
"Injury, Poisoning, Envenomation & Environmental (NEW)","Overdoses of medications such as paracetamol, opioids and benzodiazepines",,,,Medium,Likely covered,
"Injury, Poisoning, Envenomation & Environmental (NEW)",Shock,,,,High,Likely covered,
"Injury, Poisoning, Envenomation & Environmental (NEW)",Trauma,,,,Medium,Likely covered,
"Injury, Poisoning, Envenomation & Environmental (NEW)",Traumatic head injury,,,,Medium,Likely covered,
Cardiology,ARF & RHD,,,,Medium,Likely covered,
Cardiology,"Abdominal US, Pelvic US, Cardiac US",,,,Medium,Likely covered,
Cardiology,Abdominal aortic aneurysm,,,,High,Likely covered,
Cardiology,Acute Coronary Syndrome,,,,High,Likely covered,
Cardiology,Acute heart failure,,,,High,Likely covered,
Cardiology,Acute pulmonary oedema,,,,High,Likely covered,
Cardiology,Aneurysm,,,,Medium,Likely covered,
Cardiology,Aortic Dissection,,,,High,Likely covered,
Cardiology,Aortic Stenosis,,,,Medium,Likely covered,
Cardiology,"Aortic coarctation,",,,,Medium,Likely covered,
Cardiology,Aortic regurgitation,,,,High,Likely covered,
Cardiology,Arrhythmias,,,,Medium,Likely covered,
Cardiology,Arrythmia,,,,Medium,Unlikely covered,Zero to Finals - Cardiology
Cardiology,Atrial Fibrillation,,,,High,Likely covered,
Cardiology,Atrial flutter,,,,High,Likely covered,
Cardiology,BNP/NT-proBNP,,,,Medium,Unlikely covered,Zero to Finals - Cardiology
Cardiology,Benign Intracranial Hypertension,,,,High,Likely covered,
Cardiology,Bifasicular Block,,,,Medium,Partially covered,Zero to Finals - Cardiology
Cardiology,Bradyarrhythmias,,,,Medium,Unlikely covered,Zero to Finals - Cardiology
Cardiology,Cardiac markers (troponin) + Lactate (added),,,,Low,Likely covered,
Cardiology,Carotid artery stenosis,,,,Medium,Partially covered,Zero to Finals - Cardiology
Cardiology,Chest pain,,,,High,Likely covered,
Cardiology,Chronic heart failure,,,,High,Likely covered,
Cardiology,Claudication,,,,Medium,Unlikely covered,Zero to Finals - Cardiology
Cardiology,Collapse (conscious and unconscious),,,,Medium,Likely covered,
Cardiology,Congenital heart disease,,,,High,Likely covered,
Cardiology,Congestive heart failure,,,,High,Likely covered,
Cardiology,Coronary Artery Disease (,,,,High,Likely covered,
Cardiology,DVT,,,,High,Likely covered,
Cardiology,Dilated cardiomyopathy,,,,Medium,Likely covered,
Cardiology,Discussing ‘Do Not Attempt Cardiopulmonary Resuscitation (DNACPR),,,,Low,Unlikely covered,Zero to Finals - Cardiology
Cardiology,Doppler/ABI (vascular/peripheral),,,,High,Likely covered,
Cardiology,Dyslipidemia,,,,Medium,Likely covered,
Cardiology,"Ectopic heartbeats: premature ventricular contractions (PVCs), premature atrial contractions (PACs)",,,,Medium,Likely covered,
Cardiology,Endocarditis,,,,High,Likely covered,
Cardiology,"Erythema (Incl systemic disease, drug reactions)",,,,Medium,Partially covered,Zero to Finals - Cardiology
Cardiology,First Degree Heart Block,,,,High,Likely covered,
Cardiology,HEart vavlular regurgiation,,,,High,Likely covered,
Cardiology,Heart Block,,,,High,Likely covered,
Cardiology,Heart Failure Left,,,,High,Likely covered,
Cardiology,Heart Failure Right,,,,High,Likely covered,
Cardiology,Heart – Cardiac arrest,,,,High,Likely covered,
Cardiology,Heart – Murmur,,,,High,Likely covered,
Cardiology,Heart – Palpitations,,,,High,Likely covered,
Cardiology,Hypertension,,,,High,Likely covered,
Cardiology,Hypertrophic Obstructive Cardiomyopathy,,,,Medium,Likely covered,
Cardiology,Infective Endocé,,,,Medium,Likely covered,
Cardiology,Ischaemic Cardiomyopathy,,,,Medium,Likely covered,
Cardiology,Ischaemic heart disease,,,,High,Likely covered,
Cardiology,Left Anterior Fascicular Block,,,,Medium,Partially covered,Zero to Finals - Cardiology
Cardiology,Left Bundle Branch Block,,,,Medium,Likely covered,
Cardiology,Left Posterior Fasicular Block,,,,Medium,Partially covered,Zero to Finals - Cardiology
Cardiology,"Management of patients with multiple chronic medical problems: COPD/asthma, CKD, congestive heart failure, ischaemic heart disease, diabetes, cirrhosis, rheumatoid arthritis, osteoporosis, HIV, stroke, depression",,,,High,Likely covered,
Cardiology,Mitral Regurgitation,,,,Medium,Likely covered,
Cardiology,Mitral stenosis,,,,Medium,Likely covered,
Cardiology,Myocarditis,,,,Medium,Unlikely covered,Zero to Finals - Cardiology
Cardiology,NON-STEMI,,,,High,Likely covered,
Cardiology,Non-ischaemic Cardiomyopathy,,,,Medium,Likely covered,
Cardiology,Ocular manifestations of systemic disease,,,,Medium,Partially covered,Zero to Finals - Cardiology
Cardiology,Pericarditis,,,,High,Likely covered,
Cardiology,Peripheral Vascular Disease,,,,High,Likely covered,
Cardiology,Peripheral artery disease,,,,Medium,Likely covered,
Cardiology,Peripheral oedema,,,,Medium,Likely covered,
Cardiology,Peripheral vascular diseases,,,,High,Likely covered,
Cardiology,Popliteal aneurysm,,,,Medium,Likely covered,
Cardiology,Preserved Ejection Fraction Heart Failure,,,,High,Likely covered,
Cardiology,Pulmonary Hypertension,,,,High,Likely covered,
Cardiology,Reduced Ejection Fraction Heart Failure,,,,High,Likely covered,
Cardiology,Restrictive cardiomyopathy,,,,Medium,Likely covered,
Cardiology,Rheumatic Heart Disease,,,,High,Likely covered,
Cardiology,Right Bundle Branch Block,,,,Medium,Likely covered,
Cardiology,STEMI,,,,High,Likely covered,
Cardiology,Second Degree Heart Block Mobitz I,,,,Medium,Likely covered,
Cardiology,Stable Angina,,,,Medium,Likely covered,
